	IDNPROCEEDING	IDNCASE	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY	CASE_TYPE	NAT	LANG	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED	DATE_RELEASED
34	8764610	8971117	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
35	8764596	8971103	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
36	8764611	8971118	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-10 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
37	8764612	8971119	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
38	8764619	8971122	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-17 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
39	8764620	8971123	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	HO	SP			N		0.0		
40	8764622	8971125	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
41	8764623	8971126	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-17 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
42	8764625	8971127	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	HO	SP			N		0.0		
43	8764626	8971128	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
44	8764628	8971129	2019-06-08 00:00:00.000	2019-06-13 00:00:00.000	ELP	ENP	NHB						2019-07-17 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
45	8764630	8971130	2019-06-08 00:00:00.000		ELP	ENP	GRG						2019-11-05 00:00:00.000	830.0														N	RMV	HO	SP			N		0.0		
46	8764632	8971131	2019-06-08 00:00:00.000	2019-06-21 00:00:00.000	ELP	ENP	SBM						2019-07-30 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
47	8783385.0	8985717	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	0830														N	RMV	CU	SP			N		0.0		
48	8783403.0	8985728	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	0830														N	RMV	CU	SP			N		0.0		
49	8783435.0	8985751	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	EC	SP			N		0.0		
50	8783422.0	8985742	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	EC	SP			N		0.0		
51	8783502.0	8985791	2019-06-03 00:00:00.000	2019-06-11 00:00:00.000	ELP	ENP	GRG						2019-10-29 00:00:00.000	0830														N	RMV	GT	SP			N		0.0		
52	8783568.0	8985832	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	CU	SP			N		0.0		
53	8783605.0	8985857	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	ES	SP			N		0.0		
54	8783626.0	8985873	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	ES	SP			N		0.0		
55	8783650.0	8985888	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300														N	RMV	ES	SP			N		0.0		
56	8770544	8975742	2019-06-12 00:00:00.000		ELP	ENP	GRG						2019-11-19 00:00:00.000	830.0														N	RMV	HO	SP			N		0.0		
57	8783756	8985960	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
58	8783766	8985969	2019-06-18 00:00:00.000		ELP	ENP	NHB						2020-01-15 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
59	8783769	8985972	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
60	8783864	8986044	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
61	8783908	8986081	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	830.0														N	RMV	EC	SP			N		0.0		
62	8783909	8986082	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
63	8783920	8986092	2019-06-18 00:00:00.000		ELP	ENP	NHB						2020-01-22 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
64	8783921	8986093	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
65	8783922	8986094	2019-06-18 00:00:00.000		ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
66	8783927	8986098	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
67	8783930	8986101	2019-06-18 00:00:00.000		ELP	ENP	NHB						2020-01-22 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
68	8783931	8986102	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
69	8783935	8986106	2019-06-18 00:00:00.000	2019-06-26 00:00:00.000	ELP	ENP	SBM						2019-08-01 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
70	8783939	8986109	2019-06-18 00:00:00.000		ELP	ENP	RSH						2019-08-15 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
71	8783941	8986110	2019-06-18 00:00:00.000		ELP	ENP	NHB						2020-01-22 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
72	8783954	8986122	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
73	8632472	8872115	2019-04-05 00:00:00.000	2019-04-30 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
74	8632478	8872121	2019-04-05 00:00:00.000	2019-04-29 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
75	8632479	8872122	2019-04-05 00:00:00.000	2019-05-03 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
76	8632481	8872124	2019-04-05 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
77	8632482	8872125	2019-04-05 00:00:00.000	2019-05-09 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
78	8632483	8872126	2019-04-05 00:00:00.000	2019-05-10 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0	O	X	ES					2019-05-15 00:00:00.000	Y			2019-06-14 00:00:00.000		N	RMV	ES	SP			N		0.0		
79	8632484	8872127	2019-04-05 00:00:00.000	2019-05-03 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0	O	X	HO					2019-05-15 00:00:00.000	Y			2019-06-14 00:00:00.000		N	RMV	HO	SP			N		0.0		
80	8632485	8872128	2019-04-05 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
81	8632487	8872130	2019-04-05 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0	O	X	HO					2019-05-15 00:00:00.000	Y			2019-06-14 00:00:00.000		N	RMV	HO	SP			N		0.0		
82	8632489	8872132	2019-04-05 00:00:00.000	2019-05-09 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0	O	X	HO					2019-05-15 00:00:00.000	Y			2019-06-14 00:00:00.000		N	RMV	HO	SP			N		0.0		
83	8632490	8872133	2019-04-05 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
84	8632491	8872134	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
85	8632492	8872135	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-08 00:00:00.000	1300.0	W	X	HO					2019-05-16 00:00:00.000	Y			2019-06-17 00:00:00.000		N	RMV	HO	SP			N		0.0		
86	8632494	8872137	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	W	X	HO					2019-05-16 00:00:00.000	Y			2019-06-17 00:00:00.000		N	RMV	HO	SP			N		0.0		
87	8632495	8872138	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
88	8632496	8872139	2019-04-05 00:00:00.000	2019-04-29 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	GT					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	GT	SP			N		0.0		
89	8632498	8872141	2019-04-05 00:00:00.000	2019-04-29 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	GT					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	GT	SP			N		0.0		
90	8632499	8872142	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	ES	SP			N		0.0		
91	8632501	8872144	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	ES	SP			N		0.0		
92	8632502	8872145	2019-04-06 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	GT					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	GT	SP			N		0.0		
93	8632504	8872147	2019-04-06 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	ES					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	ES	SP			N		0.0		
94	8632505	8872148	2019-04-06 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0					C			2019-06-06 00:00:00.000	N	2019-06-06 13:30:13.777	TUC	2019-07-08 00:00:00.000	V	D	RMV	GT	SP			N		0.0	2019-05-21 00:00:00.000	
95	8632507	8872150	2019-04-05 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
96	8632508	8872151	2019-04-05 00:00:00.000	2019-05-16 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	T						2019-05-22 00:00:00.000	N			2019-06-21 00:00:00.000		N	RMV	GT	SP			N		0.0		
97	8632510	8872153	2019-04-06 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	HO					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	HO	SP			N		0.0		
98	8632511	8872154	2019-04-06 00:00:00.000	2019-04-25 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0	O	X	GT					2019-05-23 00:00:00.000	Y			2019-06-24 00:00:00.000		N	RMV	GT	SP			N		0.0		
99	8632519	8872161	2019-04-06 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
100	8632521	8872163	2019-04-06 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
101	8632524	8872165	2019-04-06 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
102	8632526	8872167	2019-04-06 00:00:00.000	2019-04-26 00:00:00.000	ELP	ENP	NHB						2019-05-09 00:00:00.000	1000.0														N	RMV	HO	SP			N		0.0		
103	8783964	8986132	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
104	8619445	8863040	2019-03-31 00:00:00.000	2019-04-03 00:00:00.000	ELP	ENP	NHB						2019-04-17 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
105	8619449	8863044	2019-03-31 00:00:00.000	2019-04-03 00:00:00.000	ELP	ENP	NHB						2019-04-17 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
106	8619452	8863047	2019-03-31 00:00:00.000	2019-04-03 00:00:00.000	ELP	ENP	NHB						2019-04-17 00:00:00.000	1300.0														N	RMV	ES	SP			N		0.0		
107	8784095	8986229	2019-06-18 00:00:00.000		ELP	ENP	GRG						2019-12-09 00:00:00.000	1300.0														N	RMV	CU	SP			N		0.0		
108	8621822	8864651	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	GT					2019-04-18 00:00:00.000	Y			2019-05-20 00:00:00.000		N	RMV	GT	SP			N		0.0		
109	8621825	8864653	2019-04-01 00:00:00.000	2019-04-04 00:00:00.000	ELP	ENP	NHB						2019-04-18 00:00:00.000	1000.0	W	X	HO					2019-05-31 00:00:00.000	Y			2019-07-01 00:00:00.000		N	RMV	HO	SP			N		0.0		
