	IDNCASE	ALIEN_CITY	ALIEN_STATE	NAT	LANG	CUSTODY	SITE_TYPE	E_28_DATE	ATTY_NBR	CASE_TYPE	UPDATE_SITE	LATEST_HEARING	LATEST_TIME	LATEST_CAL_TYPE	UP_BOND_DATE	UP_BOND_RSN	CORRECTIONAL_FAC	RELEASE_MONTH	RELEASE_YEAR	INMATE_HOUSING	DATE_OF_ENTRY	C_ASY_TYPE	C_BIRTHDATE	C_RELEASE_DATE	UPDATED_CITY	UPDATED_STATE	ADDRESS_CHANGEDON	ZBOND_MRG_FLAG	GENDER	DATE_DETAINED	DATE_RELEASED	LPR	DETENTION_DATE	DETENTION_LOCATION	DCO_LOCATION	DETENTION_FACILITY_TYPE	CASEPRIORITY_CODE	IDNPROCEEDING	OSC_DATE	INPUT_DATE	BASE_CITY_CODE	HEARING_LOC_CODE	IJ_CODE	TRANS_IN_DATE	PREV_HEARING_LOC	PREV_HEARING_BASE	PREV_IJ_CODE	TRANS_NBR	HEARING_DATE	HEARING_TIME	DEC_TYPE	DEC_CODE	DEPORTED_1	DEPORTED_2	OTHER_COMP	APPEAL_RSVD	APPEAL_NOT_FILED	COMP_DATE	ABSENTIA	VENUE_CHG_GRANTED	TRANSFER_TO	DATE_APPEAL_DUE_STATUS	TRANSFER_STATUS	CUSTODY_right	CASE_TYPE_right	NAT_right	LANG_right	SCHEDULED_HEAR_LOC	CORRECTIONAL_FAC_right	CRIM_IND	IHP	AGGRAVATE_FELON	DATE_DETAINED_right	DATE_RELEASED_right
13469	8960862	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		5/2003						M									8750834	2019-06-02 00:00:00.000	2019-06-07 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13470	8960863	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-10-28 00:00:00.000	1300.0	M									12/1973						M									8750835	2019-06-02 00:00:00.000		ELP	ENP	GRG						2019-10-28 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13471	8960864	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-10-28 00:00:00.000	1300.0	M									5/2004						F									8750836	2019-06-02 00:00:00.000		ELP	ENP	GRG						2019-10-28 00:00:00.000	1300.0														N	RMV	GT	SP			N		0.0		
13472	8960865	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		9/1981						M									8750837	2019-06-02 00:00:00.000	2019-06-05 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13473	8960866	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		10/1990						F									8750838	2019-06-02 00:00:00.000	2019-06-05 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13474	8960867	See Remarks	FA	HO	SP	N	I			RMV	ELP	2019-10-28 00:00:00.000	1300.0	M									12/1971						M									8750839	2019-06-02 00:00:00.000		ELP	ENP	GRG						2019-10-28 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
13475	8960868	See Remarks	FA	HO	SP	N	I			RMV	ELP	2019-10-28 00:00:00.000	1300.0	M									8/2002						F									8750840	2019-06-02 00:00:00.000		ELP	ENP	GRG						2019-10-28 00:00:00.000	1300.0														N	RMV	HO	SP			N		0.0		
13476	8960869	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M									7/1984						F									8750841	2019-06-02 00:00:00.000	2019-06-12 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
13477	8960870	See Remarks	FA	GT	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M							2019-05-30 00:00:00.000		10/2016						M									8750842	2019-06-02 00:00:00.000	2019-06-05 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	GT	SP			N		0.0		
13478	8960871	See Remarks	FA	ES	SP	N	I			RMV	ELP	2019-07-23 00:00:00.000	830.0	M									11/2001						F									8750843	2019-06-02 00:00:00.000	2019-06-12 00:00:00.000	ELP	ENP	SBM						2019-07-23 00:00:00.000	830.0														N	RMV	ES	SP			N		0.0		
